time	voltage	temperature
10:12:41	127.6	21.67
10:12:46	127.59	21.67
10:12:51	127.59	21.67
10:12:56	127.58	21.67
10:13:01	127.55	21.67
10:13:06	127.6	21.67
10:13:11	127.59	21.67
10:13:16	127.58	21.67
10:13:21	127.6	21.67
10:13:26	127.57	21.67
10:13:31	127.57	21.67
10:13:36	127.55	21.67
10:13:41	127.54	21.67
10:13:46	127.54	21.67
10:13:51	127.57	21.67
10:13:56	127.55	21.67
10:14:01	127.56	21.67
10:14:06	127.55	21.67
10:14:11	127.56	21.67
10:14:16	127.57	21.67
10:14:21	127.52	21.67
10:14:26	127.54	21.67
10:14:31	127.57	21.67
10:14:36	127.55	21.67
10:14:41	127.54	21.67
10:14:46	127.54	21.67
10:14:51	127.54	21.67
10:14:56	127.51	21.67
10:15:01	127.55	21.67
10:15:06	127.56	21.67
10:15:11	127.5	21.67
10:15:16	127.5	21.67
10:15:21	127.55	21.67
10:15:26	127.54	21.67
10:15:31	127.51	21.67
10:15:36	127.52	21.67
10:15:41	127.52	21.67
10:15:46	127.53	21.67
10:15:51	127.5	21.67
10:15:56	127.52	21.67
10:16:01	127.52	21.67
10:16:06	127.54	21.67
10:16:11	127.55	21.67
10:16:16	127.55	21.67
10:16:21	127.55	21.67
10:16:26	127.54	21.67
10:16:31	127.54	21.67
10:16:36	127.57	21.67
10:16:41	127.54	21.67
10:16:46	127.56	21.67
10:16:51	127.53	21.67
10:16:56	127.5	21.67
10:17:01	127.57	21.67
10:17:06	127.55	21.67
10:17:11	127.53	21.67
10:17:16	127.53	21.67
10:17:21	127.54	21.67
10:17:26	127.54	21.67
10:17:31	127.54	21.67
10:17:36	127.55	21.67
10:17:41	127.53	21.67
10:17:46	127.52	21.67
10:17:51	127.48	21.67
10:17:56	127.51	21.67
10:18:01	127.5	21.67
10:18:06	127.51	21.67
10:18:11	127.49	21.67
10:18:16	127.53	21.67
10:18:21	127.51	21.67
10:18:26	127.53	21.67
10:18:31	127.52	21.67
10:18:36	127.55	21.67
10:18:41	127.54	21.67
10:18:46	127.53	21.67
10:18:51	127.56	21.67
10:18:56	127.54	21.67
10:19:01	127.49	21.67
10:19:06	127.52	21.67
10:19:11	127.52	21.67
10:19:16	127.52	21.67
10:19:21	127.54	21.67
10:19:26	127.55	21.67
10:19:31	127.52	21.67
10:19:36	127.51	21.67
10:19:41	127.56	21.67
10:19:46	127.54	21.67
10:19:51	127.52	21.67
10:19:56	127.52	21.67
10:20:01	127.54	21.67
10:20:06	127.56	21.67
10:20:11	127.53	21.67
10:20:16	127.54	21.67
10:20:21	127.54	21.67
10:20:26	127.55	21.67
10:20:31	127.53	21.67
10:20:36	127.51	21.67
10:20:41	127.59	21.67
10:20:46	127.54	21.67
10:20:51	127.51	21.67
10:20:56	127.51	21.67
10:21:01	127.55	21.67
10:21:06	127.52	21.67
10:21:11	127.55	21.67
10:21:16	127.54	21.67
10:21:21	127.52	21.67
10:21:26	127.49	21.67
10:21:31	127.53	21.67
10:21:36	127.54	21.67
10:21:41	127.52	21.67
10:21:46	127.54	21.67
10:21:51	127.5	21.67
10:21:56	127.47	21.67
10:22:01	127.5	21.67
10:22:06	127.49	21.67
10:22:11	127.5	21.67
10:22:16	127.5	21.67
10:22:21	127.46	21.67
10:22:26	127.53	21.67
10:22:31	127.5	21.67
10:22:36	127.5	21.67
10:22:41	127.51	21.67
10:22:46	127.5	21.67
10:22:51	127.51	21.67
10:22:56	127.49	21.67
10:23:01	127.52	21.67
10:23:06	127.48	21.67
10:23:11	127.52	21.67
10:23:16	127.54	21.67
10:23:21	127.52	21.67
10:23:26	127.5	21.67
10:23:31	127.51	21.67
10:23:36	127.5	21.67
10:23:41	127.52	21.67
10:23:46	127.48	21.67
10:23:51	127.5	21.67
10:23:56	127.51	21.67
10:24:01	127.5	21.67
10:24:06	127.5	21.67
10:24:11	127.48	21.67
10:24:16	127.54	21.67
10:24:21	127.5	21.67
10:24:26	127.51	21.67
10:24:31	127.5	21.67
10:24:36	127.49	21.67
10:24:41	127.49	21.67
10:24:46	127.51	21.67
10:24:51	127.5	21.67
10:24:56	127.54	21.67
10:25:01	127.49	21.67
10:25:06	127.49	21.67
10:25:11	127.5	21.67
10:25:16	127.49	21.67
10:25:21	127.49	21.67
10:25:26	127.52	21.67
10:25:31	127.52	21.67
10:25:36	127.53	21.67
10:25:41	127.52	21.67
10:25:46	127.5	21.67
10:25:51	127.52	21.67
10:25:56	127.48	21.67
10:26:01	127.52	21.67
10:26:06	127.53	21.67
10:26:11	127.49	21.67
10:26:16	127.51	21.67
10:26:21	127.48	21.67
10:26:26	127.48	21.67
10:26:31	127.53	21.67
10:26:36	127.52	21.67
10:26:41	127.5	21.67
10:26:46	127.5	21.67
10:26:51	127.52	21.67
10:26:56	127.49	21.67
10:27:01	127.5	21.67
10:27:06	127.5	21.67
10:27:11	127.52	21.67
10:27:16	127.47	21.67
10:27:21	127.44	21.67
10:27:26	127.52	21.67
10:27:31	127.52	21.67
10:27:36	127.51	21.67
10:27:41	127.48	21.67
10:27:46	127.51	21.67
10:27:51	127.47	21.67
10:27:56	127.51	21.67
10:28:01	127.48	21.67
10:28:06	127.5	21.67
10:28:11	127.52	21.67
10:28:16	127.49	21.67
10:28:21	127.51	21.67
10:28:26	127.49	21.67
10:28:31	127.48	21.67
10:28:36	127.47	21.67
10:28:41	127.48	21.67
10:28:46	127.5	21.67
10:28:51	127.51	21.67
10:28:56	127.49	21.67
10:29:01	127.5	21.67
10:29:06	127.48	21.67
10:29:11	127.51	21.67
10:29:16	127.5	21.67
10:29:21	127.48	21.67
10:29:26	127.51	21.67
10:29:31	127.52	21.67
10:29:36	127.46	21.67
10:29:41	127.45	21.67
10:29:46	127.47	21.67
10:29:51	127.46	21.67
10:29:56	127.46	21.67
10:30:01	127.47	21.67
10:30:06	127.5	21.67
10:30:11	127.49	21.67
10:30:16	127.49	21.67
10:30:21	127.49	21.67
10:30:26	127.48	21.67
10:30:31	127.46	21.67
10:30:36	127.45	21.67
10:30:41	127.46	21.67
10:30:46	127.5	21.67
10:30:51	127.5	21.67
10:30:56	127.49	21.67
10:31:01	127.46	21.67
10:31:06	127.47	21.67
10:31:11	127.45	21.67
10:31:16	127.49	21.67
10:31:21	127.47	21.67
10:31:26	127.48	21.67
10:31:31	127.46	21.67
10:31:36	127.48	21.67
10:31:41	127.46	21.67
10:31:46	127.45	21.67
10:31:51	127.47	21.67
10:31:56	127.48	21.67
10:32:01	127.45	21.67
10:32:06	127.47	21.67
10:32:11	127.48	21.67
10:32:16	127.49	21.67
10:32:21	127.46	21.67
10:32:26	127.47	21.67
10:32:31	127.46	21.67
10:32:36	127.46	21.67
10:32:41	127.45	21.67
10:32:46	127.46	21.67
10:32:51	127.46	21.67
10:32:56	127.46	21.67
10:33:01	127.45	21.67
10:33:06	127.5	21.67
10:33:11	127.45	21.67
10:33:16	127.47	21.67
10:33:21	127.44	21.67
10:33:26	127.48	21.67
10:33:31	127.45	21.67
10:33:36	127.48	21.67
10:33:41	127.47	21.67
10:33:46	127.45	21.67
10:33:51	127.48	21.67
10:33:56	127.45	21.67
10:34:01	127.46	21.67
10:34:06	127.46	21.67
10:34:11	127.44	21.67
10:34:16	127.47	21.67
10:34:21	127.46	21.67
10:34:26	127.45	21.67
10:34:31	127.48	21.67
10:34:36	127.47	21.67
10:34:41	127.46	21.67
10:34:46	127.47	21.67
10:34:51	127.44	21.67
10:34:56	127.46	21.67
10:35:01	127.45	21.67
10:35:06	127.44	21.67
10:35:11	127.47	21.67
10:35:16	127.45	21.67
10:35:21	127.47	21.67
10:35:26	127.46	21.67
10:35:31	127.47	21.67
10:35:36	127.47	21.67
10:35:41	127.44	21.67
10:35:46	127.49	21.67
10:35:51	127.42	21.67
10:35:56	127.44	21.67
10:36:01	127.44	21.67
10:36:06	127.47	21.67
10:36:11	127.44	21.67
10:36:16	127.45	21.67
10:36:21	127.45	21.67
10:36:26	127.45	21.67
10:36:31	127.48	21.67
10:36:36	127.46	21.67
10:36:41	127.45	21.67
10:36:46	127.46	21.67
10:36:51	127.46	21.67
10:36:56	127.44	21.67
10:37:01	127.47	21.67
10:37:06	127.44	21.67
10:37:11	127.44	21.67
10:37:16	127.44	21.67
10:37:21	127.45	21.67
10:37:26	127.44	21.67
10:37:31	127.43	21.67
10:37:36	127.43	21.67
10:37:41	127.47	21.67
10:37:46	127.43	21.67
10:37:51	127.45	21.67
10:37:56	127.43	21.67
10:38:01	127.46	21.67
10:38:06	127.43	21.67
10:38:11	127.42	21.67
10:38:16	127.44	21.67
10:38:21	127.47	21.67
10:38:26	127.48	22.06
10:38:31	127.42	22.06
10:38:36	127.43	22.06
10:38:41	127.43	22.06
10:38:46	127.43	22.06
10:38:51	127.44	22.06
10:38:56	127.42	22.06
10:39:01	127.47	22.06
10:39:06	127.43	22.06
10:39:11	127.42	22.06
10:39:16	127.45	22.06
10:39:21	127.44	22.06
10:39:26	127.44	22.06
10:39:31	127.44	22.06
10:39:36	127.44	22.06
10:39:41	127.42	22.06
10:39:46	127.43	22.06
10:39:51	127.42	22.06
10:39:56	127.44	22.06
10:40:01	127.42	22.06
10:40:06	127.43	22.06
10:40:11	127.42	22.06
10:40:16	127.41	22.06
10:40:21	127.39	22.06
10:40:26	127.44	22.06
10:40:31	127.43	22.06
10:40:36	127.41	22.06
10:40:41	127.44	22.06
10:40:46	127.44	22.06
10:40:51	127.43	22.06
10:40:56	127.43	22.06
10:41:01	127.41	22.06
10:41:06	127.43	22.06
10:41:11	127.44	22.06
10:41:16	127.45	22.06
10:41:21	127.44	22.06
10:41:26	127.42	22.06
10:41:31	127.46	22.06
10:41:36	127.44	22.06
10:41:41	127.43	22.06
10:41:46	127.41	22.06
10:41:51	127.41	22.06
10:41:56	127.42	22.06
10:42:01	127.42	22.06
10:42:06	127.44	22.06
10:42:11	127.41	22.06
10:42:16	127.43	22.06
10:42:21	127.44	22.06
10:42:26	127.43	22.06
10:42:31	127.43	22.06
10:42:36	127.42	22.06
10:42:41	127.43	22.06
10:42:46	127.43	22.06
10:42:51	127.4	22.06
10:42:56	127.42	22.06
10:43:01	127.42	22.06
10:43:06	127.45	22.06
10:43:11	127.43	22.06
10:43:16	127.42	22.06
10:43:21	127.4	22.06
10:43:26	127.38	22.06
10:43:31	127.43	22.06
10:43:36	127.42	22.06
10:43:41	127.39	22.06
10:43:46	127.41	22.06
10:43:51	127.37	22.06
10:43:56	127.43	22.06
10:44:01	127.4	22.06
10:44:06	127.41	22.06
10:44:11	127.39	22.06
10:44:16	127.38	22.06
10:44:21	127.4	22.06
10:44:26	127.42	22.06
